020018000053;AK-05-050010;0200180;AK-05;PK;06;Abbott Loop Elementary;Anchorage School District;Anchorage Municipality;8427 Lake Otis Pkwy;Anchorage;AK;99507;3599;(907)742-5400;11;City: Large;No;No;Yes;Yes;326.00000;21.08000;15.5000000;195.00000;0.00000
020051000311;AK-33-339010;0200510;AK-33;KG;08;Academy Charter School;Matanuska-Susitna Borough School District;Matanuska-Susitna Borough;801 East Arctic;Palmer;AK;99645;;(907)746-2358;32;Town: Distant;Yes;No;No;†;254.00000;17.63000;14.4000000;†;†
020000400769;AK-54-548010;0200004;AK-54;07;12;Accelus Correspondence;Yupiit School District;†;PO BOX 115;TULUKSAK;AK;99679;;(907)695-5625;†;N;No;†;†;†;†;†;†;†;†
020001000080;AK-04-040080;0200010;AK-04;KG;12;Adak School;Aleutian Region School District;Aleutians West Census Area;PO Box 2083;Adak;AK;99546;;(907)592-3820;43;Rural: Remote;No;No;Yes;Yes;19.00000;2.00000;9.5000000;†;†
020018000054;AK-05-050020;0200180;AK-05;PK;06;Airport Heights Elementary;Anchorage School District;Anchorage Municipality;1510 Alder Dr;Anchorage;AK;99508;2999;(907)742-4550;11;City: Large;No;No;Yes;Yes;301.00000;23.60000;12.8000000;301.00000;0.00000
020070000486;AK-44-448010;0200700;AK-44;PK;12;AK-TRAILS Correspondence;Southeast Island School District;Prince of Wales-Hyder Census Area;PO Box 19569;Thorne Bay;AK;99919;;(907)828-8254;43;Rural: Remote;No;No;No;†;0.00000;0.02000;†;–;–
020048000180;AK-28-280010;0200480;AK-28;KG;12;Akhiok School;Kodiak Island Borough School District;Kodiak Island Borough;PO Box 5049;Akhiok;AK;99615;5049;(907)836-2223;43;Rural: Remote;No;No;Yes;Yes;16.00000;2.00000;8.0000000;16.00000;0.00000
020000400579;AK-54-540010;0200004;AK-54;KG;12;Akiachak School;Yupiit School District;Bethel Census Area;PO Box 51189;Akiachak;AK;99551;0189;(907)825-3616;43;Rural: Remote;No;No;Yes;Yes;213.00000;15.30000;13.9000000;212.00000;0.00000
020000400624;AK-54-540030;0200004;AK-54;KG;12;Akiak School;Yupiit School District;Bethel Census Area;Box 49;Akiak;AK;99552;0049;(907)765-4600;43;Rural: Remote;No;No;Yes;Yes;131.00000;11.00000;11.9000000;131.00000;0.00000
020000100619;AK-31-310240;0200001;AK-31;PK;12;Akiuk Memorial School;Lower Kuskokwim School District;Bethel Census Area;General Delivery;Kasigluk;AK;99609;;(907)477-6829;43;Rural: Remote;No;No;Yes;Yes;124.00000;5.16000;24.0000000;113.00000;0.00000
